year,winter-soft-wheat,winter-barley,triticale,winter-field-peas,winter-oat,winter-rapeseed,bean,sugar-beet,potatoes,linseed-oild,flax-fibre,apple,pear,tomatoe
,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha,Tons-ha
2000,8.0,5.8,6.2,3.7,5.9,2.9,4.1,52.5,40.0,0.6,1.6,16.1,11.1,377
2001,7.1,5.3,4.7,3.5,5.5,2.6,3.6,47.1,40.3,1.2,1.5,18.9,16.5,210
2002,8.0,5.6,4.6,3.4,6.0,3.4,4.6,56.6,44.1,1.3,1.5,18.2,16.8,210
2003,7.8,5.9,4.2,3.9,6.2,3.3,3.8,56.6,40.8,1.7,1.5,15.7,17.0,427
2004,7.8,5.8,4.1,3.5,5.8,2.9,3.6,58.7,42.5,1.8,1.5,18.6,13.6,412
2005,8.0,5.9,4.2,3.7,5.8,3.2,3.1,58.7,43.5,1.9,1.5,25.8,14.0,419
2006,8.0,5.9,4.3,3.3,6.0,3.3,2.9,56.5,41.6,1.4,1.5,17.3,17.8,421
2007,7.2,5.7,3.8,3.5,5.5,3.1,3.7,53.9,40.2,1.6,1.5,16.3,13.4,402
2008,8.3,6.0,4.7,3.0,5.8,3.3,4.5,63.9,41.7,1.8,1.5,15.7,13.5,411
2009,7.9,5.8,4.1,3.6,5.8,3.4,4.9,74.2,44.4,1.9,1.5,14.7,13.6,408
2010,7.7,5.7,4.1,3.5,5.5,3.5,3.6,55.1,43.9,1.6,1.5,15.0,19.5,412
2011,7.7,5.7,4.0,4.1,5.6,3.9,3.7,75.4,43.2,2.0,1.5,15.3,20.4,416
2012,6.7,5.5,3.8,2.4,5.1,3.4,3.8,60.7,30.6,1.5,1.5,12.8,17.4,407
2013,7.4,5.8,3.8,3.7,5.5,3.0,3.7,72.1,40.9,1.8,1.4,24.8,15.7,414
2014,8.6,6.4,4.6,4.0,6.0,3.6,3.7,80.1,41.9,2.7,1.4,28.1,17.9,425
2015,9.0,6.7,4.8,4.1,6.1,3.9,3.7,69.1,43.8,1.9,1.5,29.0,17.9,419
2016,7.9,5.9,3.9,3.7,5.8,3.1,3.7,66.1,38.8,1.8,1.4,29.1,15.7,416
2017,8.3,6.1,4.4,4.0,5.4,3.9,4.0,80.3,42.6,1.8,1.4,26.9,18.0,389
